N,종목명,현재가,전일비,등락률,액면가,시가총액,상장주식수,외국인비율,거래량,PER,ROE
1,삼성전자,"75,300",500,+0.67%,100,"4,495,246","5,969,783",52.21,"9,752,806",14.60,9.99,
2,LG에너지솔루션,"452,500","3,000",-0.66%,500,"1,058,850","234,000",3.86,"542,074",306.78,N/A,
3,SK하이닉스,"132,500","2,000",+1.53%,"5,000","964,603","728,002",50.64,"4,443,564",11.98,9.53,
4,삼성전자우,"67,700",200,+0.30%,100,"557,094","822,887",74.76,"552,884",13.12,N/A,
5,NAVER,"324,500",0,0.00%,100,"532,339","164,049",55.13,"337,110",3.21,15.22,
6,삼성바이오로직스,"760,000","3,000",+0.40%,"2,500","502,854","66,165",10.50,"35,793",122.50,N/A,
7,LG화학,"649,000","4,000",-0.61%,"5,000","458,144","70,592",49.55,"192,316",16.91,2.93,
8,카카오,"91,000",900,-0.98%,100,"405,825","445,962",28.22,"2,266,154",35.83,2.70,
9,현대차,"184,500","2,500",+1.37%,"5,000","394,218","213,668",27.34,"586,742",9.35,2.04,
10,삼성SDI,"558,000","18,000",+3.33%,"5,000","383,706","68,765",44.13,"322,681",35.00,4.54,
11,기아,"79,200",300,-0.38%,"5,000","321,048","405,363",35.32,"1,072,194",7.18,5.05,
12,KB금융,"65,200",600,+0.93%,"5,000","271,107","415,808",72.02,"849,405",6.23,8.53,
13,POSCO,"281,500","1,000",+0.36%,"5,000","245,431","87,187",52.90,"185,815",4.22,3.61,
14,카카오뱅크,"49,500","3,050",+6.57%,"5,000","235,204","475,159",15.87,"5,253,451",160.19,5.08,
15,셀트리온,"159,500","1,500",+0.95%,"1,000","220,039","137,956",20.61,"372,818",40.59,16.68,
16,현대모비스,"230,500",0,0.00%,"5,000","217,991","94,573",34.29,"135,649",9.28,4.66,
17,신한지주,"41,300",200,+0.49%,"5,000","213,356","516,600",61.97,"1,077,867",5.48,8.20,
18,삼성물산,"111,500","2,000",+1.83%,100,"208,379","186,887",15.80,"358,897",12.69,3.81,
19,LG전자,"124,500","1,500",+1.22%,"5,000","203,742","163,648",28.49,"775,712",17.96,13.23,
20,SK이노베이션,"212,000","8,500",+4.18%,"5,000","196,027","92,466",23.49,"561,070","-6,235.29",-13.58,
21,카카오페이,"135,000","2,500",+1.89%,500,"178,131","131,949",42.66,"382,526",-671.64,-17.97,
22,SK,"226,000","3,000",+1.35%,200,"167,577","74,149",21.90,"92,799",26.41,1.11,
23,LG생활건강,"1,024,000","49,000",+5.03%,"5,000","159,930","15,618",42.44,"102,065",21.31,17.92,
24,하나금융지주,"52,100","1,500",+2.96%,"5,000","156,426","300,242",70.87,"1,423,194",4.87,8.96,
25,한국전력,"22,150",250,-1.12%,"5,000","142,195","641,964",14.56,"1,012,717",-13.05,2.91,
26,크래프톤,"276,000","1,500",-0.54%,100,"135,163","48,972",29.48,"236,956",21.63,61.86,
27,HMM,"27,400","2,150",+8.51%,"5,000","133,997","489,039",10.28,"19,817,687",3.45,8.93,
28,삼성생명,"63,700",100,-0.16%,500,"127,400","200,000",12.78,"138,394",8.14,3.53,
29,삼성전기,"167,000",0,0.00%,"5,000","124,738","74,694",29.65,"436,431",12.84,10.92,
30,SK텔레콤,"55,600",300,+0.54%,100,"121,671","218,833",45.02,"364,384",8.63,6.44,
31,LG,"77,100",800,+1.05%,"5,000","121,279","157,301",36.26,"191,068",5.09,7.50,
32,SK바이오사이언스,"149,000","1,000",-0.67%,500,"113,985","76,500",4.97,"469,224",57.37,13.25,
33,KT&G,"80,100",200,+0.25%,"5,000","109,971","137,292",36.29,"186,051",9.24,13.22,
34,엔씨소프트,"499,500","7,000",+1.42%,500,"109,660","21,954",43.85,"222,674",30.84,20.83,
35,아모레퍼시픽,"187,000","6,000",+3.31%,500,"109,381","58,493",30.09,"412,498",72.12,0.78,
36,우리금융지주,"15,000",350,+2.39%,"5,000","109,209","728,061",33.89,"3,005,666",4.59,5.87,
37,하이브,"263,000","6,500",+2.53%,500,"108,759","41,353",16.17,"402,375",93.56,12.52,
38,삼성에스디에스,"138,500","1,500",+1.09%,500,"107,168","77,378",11.39,"108,191",15.77,6.71,
39,대한항공,"30,100",100,+0.33%,"5,000","104,694","347,821",12.57,"3,136,387",14.14,-7.22,
40,삼성화재,"214,500","1,000",+0.47%,500,"101,619","47,375",48.67,"61,845",9.27,4.96,
41,고려아연,"530,000","1,000",+0.19%,"5,000","100,011","18,870",18.35,"24,295",13.25,8.37,
42,S-Oil,"85,400",500,+0.59%,"2,500","96,146","112,583",77.87,"377,472",8.22,-13.07,
43,포스코케미칼,"115,000",500,+0.44%,500,"89,083","77,463",6.47,"278,369",64.21,2.96,
44,두산중공업,"16,950",600,+3.67%,"5,000","88,517","522,224",7.82,"5,456,597",50.30,-37.20,
45,현대중공업,"99,100","1,100",+1.12%,"5,000","87,974","88,773",2.19,"113,409",-10.82,-7.86,
46,넷마블,"100,500","1,500",-1.47%,100,"86,383","85,954",22.98,"174,053",37.17,6.35,
47,KT,"32,450",100,+0.31%,"5,000","84,731","261,112",39.46,"767,339",8.29,4.76,
48,SK아이이테크놀로지,"118,000",500,+0.43%,"1,000","84,131","71,298",10.59,"246,399",77.58,11.00,
49,기업은행,"11,100",50,+0.45%,"5,000","82,617","744,301",13.88,"1,848,811",4.11,6.44,
50,LG이노텍,"327,500","10,500",+3.31%,"5,000","77,510","23,667",22.98,"506,959",10.38,10.20,
